
601312601|insert
0601312602|delete
0601312603|delete
601312604|insert
601312611|insert
601312612|insert
601312621|insert
601312631|insert
601312641|insert
601312642|insert
602012651|insert
602012661|insert
602012671|insert
602012672|insert
602012681|insert
602012682|insert
602012691|insert
602012701|insert
602012702|insert
602012703|insert
602022711|insert
602022721|insert
602022731|insert
602022741|insert
602022751|insert
602022761|insert
602022771|insert
602022781|insert
602032791|insert
602032801|insert
602032811|insert
602032821|insert
602032831|insert
602032832|insert
602042841|insert
602042842|insert
602042851|insert
602042852|insert
602042861|insert
602042862|insert
602042863|insert
602042871|insert
602042881|insert
602042891|insert
602042901|insert
602052911|insert
602062921|insert
602062922|insert
602062931|insert
602062941|insert
602062942|insert
602062943|insert
602062951|insert
602062952|insert
602062961|insert
602062962|insert
602062971|insert
602062981|insert
602062982|insert
602062991|insert
602063001|insert
602063002|insert
602063011|insert
602073021|insert
602073022|insert
602073031|insert
602073041|insert
602073042|insert
602083051|insert
602083061|insert
602083062|insert
602083071|insert
602083081|insert
602083091|insert
602083101|insert
602083102|insert
602083111|insert
602083121|insert
602083122|insert
602083131|insert
602083132|insert
602083133|insert
602083141|insert
602083151|insert
602083161|insert
602083162|insert
602083171|insert
602083181|insert
602093191|insert
602093192|insert
602093201|insert
602093202|insert
602093211|insert
602093212|insert
602093213|insert
602093221|insert
602093222|insert
602093223|insert
602093231|insert
602093232|insert
602103241|insert
602103251|insert
602113261|insert
602113271|insert
602113281|insert
602113282|insert
602113283|insert
602113291|insert
602113292|insert
602123301|insert
602123302|insert
602123311|insert
602123312|insert
602123321|insert
602123331|insert
602123341|insert
602133351|insert
602133361|insert
602133362|insert
602133371|insert
602133381|insert
602133382|insert
602133391|insert
602133392|insert
602133401|insert
602133411|insert
602133412|insert
602133421|insert
602133431|insert
602133432|insert
602133441|insert
602143451|insert
602143461|insert
602143471|insert
602143481|insert
602143491|insert
602143501|insert
602143502|insert
602143503|insert
602143504|insert
602143511|insert
602143521|insert
602143522|insert
602143531|insert
602143541|insert
602143542|insert
602153551|insert
602153561|insert
602153571|insert
602153572|insert
602153581|insert
602153582|insert
602153591|insert
602153601|insert
602153611|insert
602153612|insert
602163621|insert
602163631|insert
602163641|insert
602163642|insert
602163651|insert
602163661|insert
602163662|insert
602173671|insert
602173672|insert
602173681|insert
602173682|insert
602173683|insert
602173684|insert
602173691|insert
602183701|insert
602183711|insert
602183721|insert
602183722|insert
602183731|insert
602183732|insert
602183733|insert
602193741|insert
602193751|insert
602193752|insert
602193753|insert
602193754|insert
602193761|insert
602193771|insert
602203781|insert
602203791|insert
602203792|insert
602203801|insert
602203802|insert
602203811|insert
602203812|insert
602203813|insert
602203821|insert
602203831|insert
602203832|insert
602203841|insert
602203842|insert
602203843|insert
602213851|insert
602213861|insert
602213862|insert
602213871|insert
602223881|insert
602223891|insert
602223901|insert
602223911|insert
602233921|insert
602233931|insert
602233941|insert
602233951|insert
602243961|insert
602243971|insert
602243972|insert
602243981|insert
602243991|insert
602244001|insert
602254011|insert
602254012|insert
602254021|insert
602254031|insert
602254041|insert
602254051|insert
602264061|insert
602264062|insert
602264071|insert
602264081|insert
602264082|insert
602264083|insert
602264084|insert
602264091|insert
602264092|insert
602264093|insert
602264101|insert
602264102|insert
602264111|insert
602264121|insert
602264131|insert
602274141|insert
602274142|insert
602274151|insert
602274152|insert
602274153|insert
602274154|insert
602274161|insert
602274162|insert
602274171|insert
602274181|insert
602274191|insert
602274192|insert
602274201|insert
602284211|insert
602284221|insert
602284222|insert
602284223|insert
602284224|insert
602284231|insert
602284232|insert
602284233|insert
602284241|insert
602284251|insert
602284252|insert
602284261|insert
602284271|insert
602284281|insert
